TIME,CH1
-5.000000e+00,0.298438
-4.999000e+00,0.184766
-4.998000e+00,0.0379688
-4.997000e+00,-0.148203
-4.996000e+00,-0.443594
-4.995000e+00,-0.61
-4.994000e+00,-0.663594
-4.993000e+00,-0.797109
-4.992000e+00,-0.865938
-4.991000e+00,-0.7925
-4.990000e+00,-0.939063
-4.989000e+00,-0.983594
-4.988000e+00,-1.05516
-4.987000e+00,-0.834844
-4.986000e+00,-0.552656
-4.985000e+00,-0.0411719
-4.984000e+00,0.37125
-4.983000e+00,0.600625
-4.982000e+00,0.773594
-4.981000e+00,0.876016
-4.980000e+00,1.04398
-4.979000e+00,1.2443
-4.978000e+00,1.10313
-4.977000e+00,0.895078
-4.976000e+00,0.715938
-4.975000e+00,0.470313
-4.974000e+00,0.442344
-4.973000e+00,0.498125
-4.972000e+00,0.388906
-4.971000e+00,0.308047
-4.970000e+00,0.209609
-4.969000e+00,0.0399219
-4.968000e+00,-0.14625
-4.967000e+00,-0.44625
-4.966000e+00,-0.579219
-4.965000e+00,-0.619141
-4.964000e+00,-0.756719
-4.963000e+00,-0.831172
-4.962000e+00,-0.845156
-4.961000e+00,-0.960469
-4.960000e+00,-0.964375
-4.959000e+00,-1.05438
-4.958000e+00,-0.876094
-4.957000e+00,-0.594766
-4.956000e+00,-0.102578
-4.955000e+00,0.307266
-4.954000e+00,0.553359
-4.953000e+00,0.775703
-4.952000e+00,0.913438
-4.951000e+00,1.06695
-4.950000e+00,1.24406
-4.949000e+00,1.09688
-4.948000e+00,0.905781
-4.947000e+00,0.737031
-4.946000e+00,0.508047
-4.945000e+00,0.444141
-4.944000e+00,0.495078
-4.943000e+00,0.414922
-4.942000e+00,0.307812
-4.941000e+00,0.208438
-4.940000e+00,0.045625
-4.939000e+00,-0.154219
-4.938000e+00,-0.406562
-4.937000e+00,-0.571797
-4.936000e+00,-0.636406
-4.935000e+00,-0.766641
-4.934000e+00,-0.834453
-4.933000e+00,-0.826484
-4.932000e+00,-0.948047
-4.931000e+00,-0.974844
-4.930000e+00,-1.02992
-4.929000e+00,-0.864219
-4.928000e+00,-0.605859
-4.927000e+00,-0.115547
-4.926000e+00,0.306875
-4.925000e+00,0.572656
-4.924000e+00,0.777656
-4.923000e+00,0.871172
-4.922000e+00,1.03883
-4.921000e+00,1.21492
-4.920000e+00,1.10508
-4.919000e+00,0.920938
-4.918000e+00,0.718203
-4.917000e+00,0.514844
-4.916000e+00,0.415313
-4.915000e+00,0.519141
-4.914000e+00,0.419219
-4.913000e+00,0.284844
-4.912000e+00,0.24
-4.911000e+00,0.0784375
-4.910000e+00,-0.143203
-4.909000e+00,-0.379766
-4.908000e+00,-0.539141
-4.907000e+00,-0.622422
-4.906000e+00,-0.788438
-4.905000e+00,-0.819375
-4.904000e+00,-0.840703
-4.903000e+00,-0.913984
-4.902000e+00,-0.961016
-4.901000e+00,-1.04461
-4.900000e+00,-0.886641
-4.899000e+00,-0.66125
-4.898000e+00,-0.176016
-4.897000e+00,0.253984
-4.896000e+00,0.533359
-4.895000e+00,0.775703
-4.894000e+00,0.904219
-4.893000e+00,1.0343
-4.892000e+00,1.20961
-4.891000e+00,1.1457
-4.890000e+00,0.98625
-4.889000e+00,0.710781
-4.888000e+00,0.505312
-4.887000e+00,0.445234
-4.886000e+00,0.514922
-4.885000e+00,0.429297
-4.884000e+00,0.316719
-4.883000e+00,0.245078
-4.882000e+00,0.0733594
-4.881000e+00,-0.170156
-4.880000e+00,-0.393047
-4.879000e+00,-0.542656
-4.878000e+00,-0.628203
-4.877000e+00,-0.738828
-4.876000e+00,-0.788984
-4.875000e+00,-0.854375
-4.874000e+00,-0.913047
-4.873000e+00,-0.962422
-4.872000e+00,-1.04133
-4.871000e+00,-0.869062
-4.870000e+00,-0.668438
-4.869000e+00,-0.186016
-4.868000e+00,0.256484
-4.867000e+00,0.55125
-4.866000e+00,0.775781
-4.865000e+00,0.869453
-4.864000e+00,0.961797
-4.863000e+00,1.16258
-4.862000e+00,1.13797
-4.861000e+00,0.992656
-4.860000e+00,0.71
-4.859000e+00,0.508984
-4.858000e+00,0.453594
-4.857000e+00,0.549063
-4.856000e+00,0.450859
-4.855000e+00,0.290859
-4.854000e+00,0.236875
-4.853000e+00,0.0971094
-4.852000e+00,-0.151172
-4.851000e+00,-0.322422
-4.850000e+00,-0.512031
-4.849000e+00,-0.601953
-4.848000e+00,-0.779844
-4.847000e+00,-0.804766
-4.846000e+00,-0.857578
-4.845000e+00,-0.889687
-4.844000e+00,-0.949375
-4.843000e+00,-1.05727
-4.842000e+00,-0.929219
-4.841000e+00,-0.707344
-4.840000e+00,-0.225234
-4.839000e+00,0.224453
-4.838000e+00,0.495
-4.837000e+00,0.777266
-4.836000e+00,0.881563
-4.835000e+00,0.96875
-4.834000e+00,1.21391
-4.833000e+00,1.22656
-4.832000e+00,0.997969
-4.831000e+00,0.680156
-4.830000e+00,0.551797
-4.829000e+00,0.478672
-4.828000e+00,0.517344
-4.827000e+00,0.441172
-4.826000e+00,0.294375
-4.825000e+00,0.253047
-4.824000e+00,0.102109
-4.823000e+00,-0.169609
-4.822000e+00,-0.357969
-4.821000e+00,-0.520312
-4.820000e+00,-0.6
-4.819000e+00,-0.751484
-4.818000e+00,-0.7775
-4.817000e+00,-0.867734
-4.816000e+00,-0.883281
-4.815000e+00,-0.945156
-4.814000e+00,-1.04195
-4.813000e+00,-0.898828
-4.812000e+00,-0.710625
-4.811000e+00,-0.252109
-4.810000e+00,0.215703
-4.809000e+00,0.528281
-4.808000e+00,0.743047
-4.807000e+00,0.850391
-4.806000e+00,0.927813
-4.805000e+00,1.1543
-4.804000e+00,1.19219
-4.803000e+00,0.998359
-4.802000e+00,0.680078
-4.801000e+00,0.572266
-4.800000e+00,0.509766
-4.799000e+00,0.532891
-4.798000e+00,0.454609
-4.797000e+00,0.283516
-4.796000e+00,0.241953
-4.795000e+00,0.131094
-4.794000e+00,-0.147422
-4.793000e+00,-0.305937
-4.792000e+00,-0.469062
-4.791000e+00,-0.584531
-4.790000e+00,-0.776953
-4.789000e+00,-0.816641
-4.788000e+00,-0.858828
-4.787000e+00,-0.851016
-4.786000e+00,-0.953516
-4.785000e+00,-1.04875
-4.784000e+00,-0.947266
-4.783000e+00,-0.748906
-4.782000e+00,-0.304922
-4.781000e+00,0.1925
-4.780000e+00,0.477734
-4.779000e+00,0.756875
-4.778000e+00,0.865391
-4.777000e+00,0.917656
-4.776000e+00,1.1743
-4.775000e+00,1.26664
-4.774000e+00,1.03406
-4.773000e+00,0.694453
-4.772000e+00,0.590703
-4.771000e+00,0.525156
-4.770000e+00,0.488672
-4.769000e+00,0.422109
-4.768000e+00,0.317578
-4.767000e+00,0.291328
-4.766000e+00,0.116875
-4.765000e+00,-0.144141
-4.764000e+00,-0.351562
-4.763000e+00,-0.47625
-4.762000e+00,-0.5425
-4.761000e+00,-0.736953
-4.760000e+00,-0.791953
-4.759000e+00,-0.874922
-4.758000e+00,-0.878828
-4.757000e+00,-0.957187
-4.756000e+00,-1.02953
-4.755000e+00,-0.923125
-4.754000e+00,-0.760625
-4.753000e+00,-0.336797
-4.752000e+00,0.208281
-4.751000e+00,0.466406
-4.750000e+00,0.706328
-4.749000e+00,0.844531
-4.748000e+00,0.912188
-4.747000e+00,1.12922
-4.746000e+00,1.21391
-4.745000e+00,1.01
-4.744000e+00,0.746406
-4.743000e+00,0.609688
-4.742000e+00,0.495625
-4.741000e+00,0.519766
-4.740000e+00,0.496563
-4.739000e+00,0.319453
-4.738000e+00,0.2625
-4.737000e+00,0.129766
-4.736000e+00,-0.105469
-4.735000e+00,-0.246563
-4.734000e+00,-0.488203
-4.733000e+00,-0.559766
-4.732000e+00,-0.732187
-4.731000e+00,-0.820156
-4.730000e+00,-0.878437
-4.729000e+00,-0.869297
-4.728000e+00,-0.919609
-4.727000e+00,-1.01219
-4.726000e+00,-0.979141
-4.725000e+00,-0.806328
-4.724000e+00,-0.397656
-4.723000e+00,0.134063
-4.722000e+00,0.482969
-4.721000e+00,0.680703
-4.720000e+00,0.862656
-4.719000e+00,0.947031
-4.718000e+00,1.11813
-4.717000e+00,1.24305
-4.716000e+00,1.05609
-4.715000e+00,0.786094
-4.714000e+00,0.623125
-4.713000e+00,0.473984
-4.712000e+00,0.478672
-4.711000e+00,0.474453
-4.710000e+00,0.320469
-4.709000e+00,0.28125
-4.708000e+00,0.120781
-4.707000e+00,-0.0852344
-4.706000e+00,-0.267578
-4.705000e+00,-0.474844
-4.704000e+00,-0.566797
-4.703000e+00,-0.683438
-4.702000e+00,-0.774844
-4.701000e+00,-0.887188
-4.700000e+00,-0.85625
-4.699000e+00,-0.938359
-4.698000e+00,-1.01859
-4.697000e+00,-0.998359
-4.696000e+00,-0.8125
-4.695000e+00,-0.370078
-4.694000e+00,0.12625
-4.693000e+00,0.390781
-4.692000e+00,0.636953
-4.691000e+00,0.850938
-4.690000e+00,0.944922
-4.689000e+00,1.08563
-4.688000e+00,1.19508
-4.687000e+00,1.02922
-4.686000e+00,0.844922
-4.685000e+00,0.660703
-4.684000e+00,0.462969
-4.683000e+00,0.517344
-4.682000e+00,0.494844
-4.681000e+00,0.330156
-4.680000e+00,0.270156
-4.679000e+00,0.149219
-4.678000e+00,-0.0307812
-4.677000e+00,-0.180938
-4.676000e+00,-0.456562
-4.675000e+00,-0.605078
-4.674000e+00,-0.700547
