TIME,CH1
-5.000000e+00,-0.604844
-4.999000e+00,-0.567969
-4.998000e+00,-0.550625
-4.997000e+00,-0.498125
-4.996000e+00,-0.521328
-4.995000e+00,-0.38
-4.994000e+00,-0.21125
-4.993000e+00,-0.231797
-4.992000e+00,-0.144141
-4.991000e+00,0.0342969
-4.990000e+00,0.0314063
-4.989000e+00,0.257266
-4.988000e+00,0.446094
-4.987000e+00,0.476953
-4.986000e+00,0.6325
-4.985000e+00,0.761328
-4.984000e+00,0.766641
-4.983000e+00,0.7075
-4.982000e+00,0.548125
-4.981000e+00,0.37375
-4.980000e+00,0.132812
-4.979000e+00,-0.137109
-4.978000e+00,-0.229141
-4.977000e+00,-0.37375
-4.976000e+00,-0.631875
-4.975000e+00,-0.607187
-4.974000e+00,-0.541484
-4.973000e+00,-0.45875
-4.972000e+00,-0.505313
-4.971000e+00,-0.393359
-4.970000e+00,-0.212734
-4.969000e+00,-0.223125
-4.968000e+00,-0.190781
-4.967000e+00,0.0021875
-4.966000e+00,0.0230469
-4.965000e+00,0.242734
-4.964000e+00,0.407188
-4.963000e+00,0.450469
-4.962000e+00,0.643906
-4.961000e+00,0.765234
-4.960000e+00,0.784844
-4.959000e+00,0.651953
-4.958000e+00,0.570703
-4.957000e+00,0.478516
-4.956000e+00,0.145547
-4.955000e+00,-0.122188
-4.954000e+00,-0.259453
-4.953000e+00,-0.346094
-4.952000e+00,-0.596328
-4.951000e+00,-0.62375
-4.950000e+00,-0.502109
-4.949000e+00,-0.381563
-4.948000e+00,-0.614844
-4.947000e+00,-0.484766
-4.946000e+00,-0.186953
-4.945000e+00,-0.196641
-4.944000e+00,-0.212734
-4.943000e+00,0.00203125
-4.942000e+00,0.05625
-4.941000e+00,0.221875
-4.940000e+00,0.311094
-4.939000e+00,0.441797
-4.938000e+00,0.624453
-4.937000e+00,0.792656
-4.936000e+00,0.784844
-4.935000e+00,0.675859
-4.934000e+00,0.569531
-4.933000e+00,0.527734
-4.932000e+00,0.167891
-4.931000e+00,-0.129766
-4.930000e+00,-0.219219
-4.929000e+00,-0.276797
-4.928000e+00,-0.585313
-4.927000e+00,-0.634844
-4.926000e+00,-0.541875
-4.925000e+00,-0.423281
-4.924000e+00,-0.587578
-4.923000e+00,-0.476953
-4.922000e+00,-0.171328
-4.921000e+00,-0.238281
-4.920000e+00,-0.210703
-4.919000e+00,-0.0521875
-4.918000e+00,0.05
-4.917000e+00,0.206172
-4.916000e+00,0.324531
-4.915000e+00,0.421016
-4.914000e+00,0.577891
-4.913000e+00,0.770859
-4.912000e+00,0.817891
-4.911000e+00,0.671797
-4.910000e+00,0.581953
-4.909000e+00,0.585234
-4.908000e+00,0.205234
-4.907000e+00,-0.160547
-4.906000e+00,-0.24
-4.905000e+00,-0.265313
-4.904000e+00,-0.483984
-4.903000e+00,-0.607578
-4.902000e+00,-0.540156
-4.901000e+00,-0.474297
-4.900000e+00,-0.628203
-4.899000e+00,-0.416563
-4.898000e+00,-0.246641
-4.897000e+00,-0.255156
-4.896000e+00,-0.166953
-4.895000e+00,-0.0646094
-4.894000e+00,0.0696875
-4.893000e+00,0.171328
-4.892000e+00,0.30625
-4.891000e+00,0.452656
-4.890000e+00,0.520156
-4.889000e+00,0.695703
-4.888000e+00,0.811563
-4.887000e+00,0.714922
-4.886000e+00,0.643203
-4.885000e+00,0.611484
-4.884000e+00,0.1925
-4.883000e+00,-0.113672
-4.882000e+00,-0.231797
-4.881000e+00,-0.24
-4.880000e+00,-0.444141
-4.879000e+00,-0.603906
-4.878000e+00,-0.560234
-4.877000e+00,-0.534766
-4.876000e+00,-0.58
-4.875000e+00,-0.402969
-4.874000e+00,-0.305859
-4.873000e+00,-0.225469
-4.872000e+00,-0.193516
-4.871000e+00,-0.0885156
-4.870000e+00,0.0592188
-4.869000e+00,0.0903125
-4.868000e+00,0.322578
-4.867000e+00,0.534141
-4.866000e+00,0.443516
-4.865000e+00,0.645859
-4.864000e+00,0.835469
-4.863000e+00,0.719531
-4.862000e+00,0.651563
-4.861000e+00,0.598281
-4.860000e+00,0.243125
-4.859000e+00,-0.03125
-4.858000e+00,-0.184453
-4.857000e+00,-0.275391
-4.856000e+00,-0.418047
-4.855000e+00,-0.597734
-4.854000e+00,-0.585313
-4.853000e+00,-0.503828
-4.852000e+00,-0.566641
-4.851000e+00,-0.442812
-4.850000e+00,-0.332109
-4.849000e+00,-0.214297
-4.848000e+00,-0.220703
-4.847000e+00,-0.15
-4.846000e+00,0.0921875
-4.845000e+00,0.111484
-4.844000e+00,0.232734
-4.843000e+00,0.496016
-4.842000e+00,0.474375
-4.841000e+00,0.617891
-4.840000e+00,0.846484
-4.839000e+00,0.748516
-4.838000e+00,0.729453
-4.837000e+00,0.608516
-4.836000e+00,0.219141
-4.835000e+00,-0.0148438
-4.834000e+00,-0.212812
-4.833000e+00,-0.247578
-4.832000e+00,-0.33875
-4.831000e+00,-0.588203
-4.830000e+00,-0.575156
-4.829000e+00,-0.505781
-4.828000e+00,-0.575
-4.827000e+00,-0.515859
-4.826000e+00,-0.344062
-4.825000e+00,-0.174687
-4.824000e+00,-0.228906
-4.823000e+00,-0.178359
-4.822000e+00,0.0853906
-4.821000e+00,0.0992187
-4.820000e+00,0.226953
-4.819000e+00,0.463906
-4.818000e+00,0.462344
-4.817000e+00,0.639297
-4.816000e+00,0.835625
-4.815000e+00,0.750078
-4.814000e+00,0.688672
-4.813000e+00,0.578828
-4.812000e+00,0.316719
-4.811000e+00,0.0321094
-4.810000e+00,-0.168828
-4.809000e+00,-0.204844
-4.808000e+00,-0.32375
-4.807000e+00,-0.634062
-4.806000e+00,-0.582187
-4.805000e+00,-0.540937
-4.804000e+00,-0.540937
-4.803000e+00,-0.542656
-4.802000e+00,-0.353359
-4.801000e+00,-0.160156
-4.800000e+00,-0.222109
-4.799000e+00,-0.190625
-4.798000e+00,0.0638281
-4.797000e+00,0.085
-4.796000e+00,0.223203
-4.795000e+00,0.393359
-4.794000e+00,0.424297
-4.793000e+00,0.654297
-4.792000e+00,0.826328
-4.791000e+00,0.789609
-4.790000e+00,0.706953
-4.789000e+00,0.569141
-4.788000e+00,0.364063
-4.787000e+00,0.0367969
-4.786000e+00,-0.174922
-4.785000e+00,-0.185938
-4.784000e+00,-0.295938
-4.783000e+00,-0.6175
-4.782000e+00,-0.60375
-4.781000e+00,-0.554766
-4.780000e+00,-0.514844
-4.779000e+00,-0.561172
-4.778000e+00,-0.339531
-4.777000e+00,-0.14625
-4.776000e+00,-0.260625
-4.775000e+00,-0.197031
-4.774000e+00,0.0653906
-4.773000e+00,0.0830469
-4.772000e+00,0.21375
-4.771000e+00,0.325469
-4.770000e+00,0.430703
-4.769000e+00,0.657422
-4.768000e+00,0.783906
-4.767000e+00,0.808047
-4.766000e+00,0.716797
-4.765000e+00,0.566953
-4.764000e+00,0.404219
-4.763000e+00,0.0678906
-4.762000e+00,-0.121172
-4.761000e+00,-0.166563
-4.760000e+00,-0.271094
-4.759000e+00,-0.6125
-4.758000e+00,-0.648984
-4.757000e+00,-0.587266
-4.756000e+00,-0.461641
-4.755000e+00,-0.550625
-4.754000e+00,-0.376719
-4.753000e+00,-0.146328
-4.752000e+00,-0.273672
-4.751000e+00,-0.219062
-4.750000e+00,0.0592188
-4.749000e+00,0.0560938
-4.748000e+00,0.173672
-4.747000e+00,0.319922
-4.746000e+00,0.457656
-4.745000e+00,0.607969
-4.744000e+00,0.777891
-4.743000e+00,0.825469
-4.742000e+00,0.720156
-4.741000e+00,0.577422
-4.740000e+00,0.458828
-4.739000e+00,0.119844
-4.738000e+00,-0.126094
-4.737000e+00,-0.198594
-4.736000e+00,-0.279219
-4.735000e+00,-0.577734
-4.734000e+00,-0.603984
-4.733000e+00,-0.554922
-4.732000e+00,-0.440781
-4.731000e+00,-0.588359
-4.730000e+00,-0.449375
-4.729000e+00,-0.225078
-4.728000e+00,-0.247031
-4.727000e+00,-0.154688
-4.726000e+00,0.0199219
-4.725000e+00,0.0417188
-4.724000e+00,0.171719
-4.723000e+00,0.33625
-4.722000e+00,0.470703
-4.721000e+00,0.575937
-4.720000e+00,0.715313
-4.719000e+00,0.828203
-4.718000e+00,0.748984
-4.717000e+00,0.602891
-4.716000e+00,0.520078
-4.715000e+00,0.139063
-4.714000e+00,-0.0940625
-4.713000e+00,-0.223906
-4.712000e+00,-0.269609
-4.711000e+00,-0.496953
-4.710000e+00,-0.634687
-4.709000e+00,-0.562734
-4.708000e+00,-0.463359
-4.707000e+00,-0.57125
-4.706000e+00,-0.401719
-4.705000e+00,-0.284922
-4.704000e+00,-0.234766
-4.703000e+00,-0.140859
-4.702000e+00,-0.0465625
-4.701000e+00,0.0226563
-4.700000e+00,0.152734
-4.699000e+00,0.333828
-4.698000e+00,0.519141
-4.697000e+00,0.55125
-4.696000e+00,0.660703
-4.695000e+00,0.825547
-4.694000e+00,0.737422
-4.693000e+00,0.582656
-4.692000e+00,0.524141
-4.691000e+00,0.225625
-4.690000e+00,-0.0491406
-4.689000e+00,-0.201563
-4.688000e+00,-0.272266
-4.687000e+00,-0.493516
-4.686000e+00,-0.641484
-4.685000e+00,-0.588516
-4.684000e+00,-0.507266
-4.683000e+00,-0.551641
-4.682000e+00,-0.403516
-4.681000e+00,-0.261953
-4.680000e+00,-0.235781
-4.679000e+00,-0.218438
-4.678000e+00,-0.113281
-4.677000e+00,0.0603125
-4.676000e+00,0.157578
-4.675000e+00,0.332656
-4.674000e+00,0.475625
-4.673000e+00,0.53875
-4.672000e+00,0.655469
-4.671000e+00,0.837422
-4.670000e+00,0.746641
-4.669000e+00,0.577656
-4.668000e+00,0.566562
-4.667000e+00,0.279688
-4.666000e+00,-0.0292188
-4.665000e+00,-0.180312
-4.664000e+00,-0.289766
-4.663000e+00,-0.506484
-4.662000e+00,-0.621406
-4.661000e+00,-0.551797
-4.660000e+00,-0.474297
-4.659000e+00,-0.562187
-4.658000e+00,-0.444922
-4.657000e+00,-0.335469
-4.656000e+00,-0.165703
-4.655000e+00,-0.190078
-4.654000e+00,-0.129531
-4.653000e+00,0.0404687
-4.652000e+00,0.0825
-4.651000e+00,0.313828
-4.650000e+00,0.522266
-4.649000e+00,0.476172
-4.648000e+00,0.701094
-4.647000e+00,0.862109
-4.646000e+00,0.698828
-4.645000e+00,0.5975
-4.644000e+00,0.577422
-4.643000e+00,0.315
-4.642000e+00,0.00460937
-4.641000e+00,-0.174453
-4.640000e+00,-0.283125
-4.639000e+00,-0.436563
-4.638000e+00,-0.641406
-4.637000e+00,-0.569766
-4.636000e+00,-0.484531
-4.635000e+00,-0.561953
-4.634000e+00,-0.456172
-4.633000e+00,-0.343203
-4.632000e+00,-0.179688
-4.631000e+00,-0.195469
-4.630000e+00,-0.155469
-4.629000e+00,0.0659375
-4.628000e+00,0.0928125
-4.627000e+00,0.2775
-4.626000e+00,0.501797
-4.625000e+00,0.445312
-4.624000e+00,0.662266
-4.623000e+00,0.882266
-4.622000e+00,0.702813
-4.621000e+00,0.643125
-4.620000e+00,0.62375
-4.619000e+00,0.3275
-4.618000e+00,0.00789063
-4.617000e+00,-0.187891
-4.616000e+00,-0.275781
-4.615000e+00,-0.372188
-4.614000e+00,-0.629609
-4.613000e+00,-0.563828
-4.612000e+00,-0.531016
-4.611000e+00,-0.5475
-4.610000e+00,-0.489766
-4.609000e+00,-0.335625
-4.608000e+00,-0.198594
-4.607000e+00,-0.211641
-4.606000e+00,-0.12125
-4.605000e+00,0.0671094
-4.604000e+00,0.0238281
-4.603000e+00,0.302813
-4.602000e+00,0.471172
-4.601000e+00,0.445312
-4.600000e+00,0.629922
-4.599000e+00,0.8125
-4.598000e+00,0.751875
-4.597000e+00,0.701641
-4.596000e+00,0.611875
-4.595000e+00,0.359297
-4.594000e+00,0.025
-4.593000e+00,-0.177578
-4.592000e+00,-0.257109
-4.591000e+00,-0.335234
-4.590000e+00,-0.588359
-4.589000e+00,-0.574766
-4.588000e+00,-0.583672
-4.587000e+00,-0.522813
-4.586000e+00,-0.561797
-4.585000e+00,-0.348438
-4.584000e+00,-0.123203
-4.583000e+00,-0.224297
-4.582000e+00,-0.168047
-4.581000e+00,0.0797656
-4.580000e+00,0.0200781
-4.579000e+00,0.272891
-4.578000e+00,0.428359
-4.577000e+00,0.408906
-4.576000e+00,0.63
-4.575000e+00,0.7775
-4.574000e+00,0.730859
-4.573000e+00,0.757344
-4.572000e+00,0.650313
-4.571000e+00,0.378828
-4.570000e+00,0.0459375
-4.569000e+00,-0.209844
-4.568000e+00,-0.261719
-4.567000e+00,-0.297109
-4.566000e+00,-0.583359
-4.565000e+00,-0.572969
-4.564000e+00,-0.544609
-4.563000e+00,-0.473828
-4.562000e+00,-0.623203
-4.561000e+00,-0.378203
-4.560000e+00,-0.122813
-4.559000e+00,-0.219766
-4.558000e+00,-0.185938
-4.557000e+00,0.0432813
-4.556000e+00,0.0200781
-4.555000e+00,0.277734
-4.554000e+00,0.393984
-4.553000e+00,0.403516
-4.552000e+00,0.662578
-4.551000e+00,0.769141
-4.550000e+00,0.752422
-4.549000e+00,0.774375
-4.548000e+00,0.609297
-4.547000e+00,0.445078
-4.546000e+00,0.0778906
-4.545000e+00,-0.224687
-4.544000e+00,-0.223437
-4.543000e+00,-0.236875
-4.542000e+00,-0.559766
-4.541000e+00,-0.618359
-4.540000e+00,-0.555156
-4.539000e+00,-0.466328
-4.538000e+00,-0.591094
-4.537000e+00,-0.395703
-4.536000e+00,-0.155234
-4.535000e+00,-0.248203
-4.534000e+00,-0.193516
-4.533000e+00,-0.00226563
-4.532000e+00,0.0720313
-4.531000e+00,0.264531
-4.530000e+00,0.362656
-4.529000e+00,0.401484
-4.528000e+00,0.634453
-4.527000e+00,0.758203
-4.526000e+00,0.804141
-4.525000e+00,0.758984
-4.524000e+00,0.609531
-4.523000e+00,0.468203
-4.522000e+00,0.102578
-4.521000e+00,-0.140078
-4.520000e+00,-0.202734
