TIME,CH1
-5.000000e+00,-0.587812
-4.999000e+00,-0.563672
-4.998000e+00,-0.56
-4.997000e+00,-0.521641
-4.996000e+00,-0.442734
-4.995000e+00,-0.30375
-4.994000e+00,-0.197031
-4.993000e+00,-0.110547
-4.992000e+00,0.0175781
-4.991000e+00,0.0953906
-4.990000e+00,0.186484
-4.989000e+00,0.228906
-4.988000e+00,0.282891
-4.987000e+00,0.532969
-4.986000e+00,0.7425
-4.985000e+00,0.714766
-4.984000e+00,0.708281
-4.983000e+00,0.611328
-4.982000e+00,0.281406
-4.981000e+00,-0.0244531
-4.980000e+00,-0.17875
-4.979000e+00,-0.284922
-4.978000e+00,-0.577734
-4.977000e+00,-0.691641
-4.976000e+00,-0.6
-4.975000e+00,-0.460469
-4.974000e+00,-0.581172
-4.973000e+00,-0.513516
-4.972000e+00,-0.332109
-4.971000e+00,-0.3075
-4.970000e+00,-0.164609
-4.969000e+00,-0.0286719
-4.968000e+00,-0.0292188
-4.967000e+00,0.151172
-4.966000e+00,0.230859
-4.965000e+00,0.142734
-4.964000e+00,0.390625
-4.963000e+00,0.664141
-4.962000e+00,0.711406
-4.961000e+00,0.808359
-4.960000e+00,0.697578
-4.959000e+00,0.448906
-4.958000e+00,0.137344
-4.957000e+00,-0.1125
-4.956000e+00,-0.214297
-4.955000e+00,-0.379219
-4.954000e+00,-0.621406
-4.953000e+00,-0.634453
-4.952000e+00,-0.560156
-4.951000e+00,-0.523281
-4.950000e+00,-0.551094
-4.949000e+00,-0.516016
-4.948000e+00,-0.310937
-4.947000e+00,-0.256328
-4.946000e+00,-0.186172
-4.945000e+00,0.0694531
-4.944000e+00,0.123906
-4.943000e+00,0.103516
-4.942000e+00,0.197578
-4.941000e+00,0.21
-4.940000e+00,0.449297
-4.939000e+00,0.750469
-4.938000e+00,0.756172
-4.937000e+00,0.754219
-4.936000e+00,0.660078
-4.935000e+00,0.279609
-4.934000e+00,0.00101562
-4.933000e+00,-0.106641
-4.932000e+00,-0.226797
-4.931000e+00,-0.467891
-4.930000e+00,-0.666094
-4.929000e+00,-0.598672
-4.928000e+00,-0.495313
-4.927000e+00,-0.587578
-4.926000e+00,-0.525234
-4.925000e+00,-0.406797
-4.924000e+00,-0.357578
-4.923000e+00,-0.230078
-4.922000e+00,-0.045625
-4.921000e+00,0.0839063
-4.920000e+00,0.0846875
-4.919000e+00,0.139688
-4.918000e+00,0.199688
-4.917000e+00,0.315156
-4.916000e+00,0.525547
-4.915000e+00,0.744609
-4.914000e+00,0.848672
-4.913000e+00,0.698047
-4.912000e+00,0.495
-4.911000e+00,0.205234
-4.910000e+00,-0.0292188
-4.909000e+00,-0.177578
-4.908000e+00,-0.276953
-4.907000e+00,-0.54
-4.906000e+00,-0.646094
-4.905000e+00,-0.588906
-4.904000e+00,-0.480859
-4.903000e+00,-0.607187
-4.902000e+00,-0.515234
-4.901000e+00,-0.350859
-4.900000e+00,-0.332891
-4.899000e+00,-0.180469
-4.898000e+00,0.0425
-4.897000e+00,0.0510156
-4.896000e+00,0.131641
-4.895000e+00,0.167656
-4.894000e+00,0.167422
-4.893000e+00,0.363672
-4.892000e+00,0.693516
-4.891000e+00,0.8325
-4.890000e+00,0.809609
-4.889000e+00,0.626484
-4.888000e+00,0.338984
-4.887000e+00,0.12
-4.886000e+00,-0.061875
-4.885000e+00,-0.231016
-4.884000e+00,-0.375937
-4.883000e+00,-0.578828
-4.882000e+00,-0.604844
-4.881000e+00,-0.592109
-4.880000e+00,-0.537266
-4.879000e+00,-0.571094
-4.878000e+00,-0.476172
-4.877000e+00,-0.32375
-4.876000e+00,-0.227344
-4.875000e+00,-0.120391
-4.874000e+00,0.0507812
-4.873000e+00,0.0520313
-4.872000e+00,0.114531
-4.871000e+00,0.235078
-4.870000e+00,0.232578
-4.869000e+00,0.467813
-4.868000e+00,0.756953
-4.867000e+00,0.814609
-4.866000e+00,0.688047
-4.865000e+00,0.568281
-4.864000e+00,0.306094
-4.863000e+00,0.0621094
-4.862000e+00,-0.133125
-4.861000e+00,-0.265469
-4.860000e+00,-0.475
-4.859000e+00,-0.619062
-4.858000e+00,-0.624297
-4.857000e+00,-0.557891
-4.856000e+00,-0.540781
-4.855000e+00,-0.515312
-4.854000e+00,-0.464766
-4.853000e+00,-0.297187
-4.852000e+00,-0.147812
-4.851000e+00,-0.0395312
-4.850000e+00,0.0170313
-4.849000e+00,0.0405469
-4.848000e+00,0.208516
-4.847000e+00,0.193672
-4.846000e+00,0.308984
-4.845000e+00,0.571406
-4.844000e+00,0.840469
-4.843000e+00,0.766953
-4.842000e+00,0.592656
-4.841000e+00,0.457734
-4.840000e+00,0.241094
-4.839000e+00,-0.00164062
-4.838000e+00,-0.166953
-4.837000e+00,-0.311016
-4.836000e+00,-0.525156
-4.835000e+00,-0.667891
-4.834000e+00,-0.58375
-4.833000e+00,-0.499922
-4.832000e+00,-0.573203
-4.831000e+00,-0.574141
-4.830000e+00,-0.385234
-4.829000e+00,-0.245781
-4.828000e+00,-0.114453
-4.827000e+00,0.0003125
-4.826000e+00,-0.00570313
-4.825000e+00,0.0771094
-4.824000e+00,0.274609
-4.823000e+00,0.209453
-4.822000e+00,0.394375
-4.821000e+00,0.740391
-4.820000e+00,0.802969
-4.819000e+00,0.694688
-4.818000e+00,0.546563
-4.817000e+00,0.379141
-4.816000e+00,0.178125
-4.815000e+00,-0.03125
-4.814000e+00,-0.224219
-4.813000e+00,-0.412422
-4.812000e+00,-0.622734
-4.811000e+00,-0.602031
-4.810000e+00,-0.528672
-4.809000e+00,-0.587734
-4.808000e+00,-0.639531
-4.807000e+00,-0.493125
-4.806000e+00,-0.280078
-4.805000e+00,-0.209062
-4.804000e+00,-0.101641
-4.803000e+00,0.0560156
-4.802000e+00,0.0489063
-4.801000e+00,0.154063
-4.800000e+00,0.186563
-4.799000e+00,0.278438
-4.798000e+00,0.553516
-4.797000e+00,0.773984
-4.796000e+00,0.741328
-4.795000e+00,0.586562
-4.794000e+00,0.576094
-4.793000e+00,0.358594
-4.792000e+00,0.0354688
-4.791000e+00,-0.116328
-4.790000e+00,-0.231875
-4.789000e+00,-0.507656
-4.788000e+00,-0.660469
-4.787000e+00,-0.607969
-4.786000e+00,-0.503203
-4.785000e+00,-0.602422
-4.784000e+00,-0.544297
-4.783000e+00,-0.445625
-4.782000e+00,-0.260234
-4.781000e+00,-0.200547
-4.780000e+00,-0.0410937
-4.779000e+00,0.0521875
-4.778000e+00,0.0727344
-4.777000e+00,0.158281
-4.776000e+00,0.225156
-4.775000e+00,0.413047
-4.774000e+00,0.588359
-4.773000e+00,0.762188
-4.772000e+00,0.701641
-4.771000e+00,0.610469
-4.770000e+00,0.524766
-4.769000e+00,0.259453
-4.768000e+00,-0.0563281
-4.767000e+00,-0.156562
-4.766000e+00,-0.306641
-4.765000e+00,-0.592266
-4.764000e+00,-0.665
-4.763000e+00,-0.546328
-4.762000e+00,-0.503828
-4.761000e+00,-0.62125
-4.760000e+00,-0.518984
-4.759000e+00,-0.3125
-4.758000e+00,-0.295625
-4.757000e+00,-0.149062
-4.756000e+00,-0.0111719
-4.755000e+00,-0.00421875
-4.754000e+00,0.157969
-4.753000e+00,0.2925
-4.752000e+00,0.224063
-4.751000e+00,0.432422
-4.750000e+00,0.714688
-4.749000e+00,0.702266
-4.748000e+00,0.649609
-4.747000e+00,0.643906
-4.746000e+00,0.444531
-4.745000e+00,0.157734
-4.744000e+00,-0.100859
-4.743000e+00,-0.248203
-4.742000e+00,-0.422578
-4.741000e+00,-0.646328
-4.740000e+00,-0.592266
-4.739000e+00,-0.538047
-4.738000e+00,-0.549687
-4.737000e+00,-0.613594
-4.736000e+00,-0.529062
-4.735000e+00,-0.266797
-4.734000e+00,-0.154453
-4.733000e+00,-0.132891
-4.732000e+00,-0.019375
-4.731000e+00,0.0354688
-4.730000e+00,0.221719
-4.729000e+00,0.270156
-4.728000e+00,0.298281
-4.727000e+00,0.482031
-4.726000e+00,0.726719
-4.725000e+00,0.706562
-4.724000e+00,0.652734
-4.723000e+00,0.590078
-4.722000e+00,0.365156
-4.721000e+00,0.0280469
-4.720000e+00,-0.149219
-4.719000e+00,-0.280859
-4.718000e+00,-0.521875
-4.717000e+00,-0.661875
-4.716000e+00,-0.577266
-4.715000e+00,-0.535937
-4.714000e+00,-0.618125
-4.713000e+00,-0.504375
-4.712000e+00,-0.390313
-4.711000e+00,-0.313516
-4.710000e+00,-0.161094
-4.709000e+00,-0.0378125
-4.708000e+00,-0.00921875
-4.707000e+00,0.08625
-4.706000e+00,0.236875
-4.705000e+00,0.24
-4.704000e+00,0.366719
