TIME,CH1
-5.000000e+00,0.498516
-4.999000e+00,0.699766
-4.998000e+00,0.831172
-4.997000e+00,0.74875
-4.996000e+00,0.55875
-4.995000e+00,0.574766
-4.994000e+00,0.407578
-4.993000e+00,0.123125
-4.992000e+00,-0.186172
-4.991000e+00,-0.318906
-4.990000e+00,-0.415312
-4.989000e+00,-0.573203
-4.988000e+00,-0.577266
-4.987000e+00,-0.481016
-4.986000e+00,-0.520547
-4.985000e+00,-0.547188
-4.984000e+00,-0.401172
-4.983000e+00,-0.214766
-4.982000e+00,-0.198594
-4.981000e+00,-0.0985156
-4.980000e+00,-0.00867188
-4.979000e+00,0.0667969
-4.978000e+00,0.310547
-4.977000e+00,0.452656
-4.976000e+00,0.492891
-4.975000e+00,0.665391
-4.974000e+00,0.825937
-4.973000e+00,0.708906
-4.972000e+00,0.580156
-4.971000e+00,0.628594
-4.970000e+00,0.392578
-4.969000e+00,0.0835156
-4.968000e+00,-0.186328
-4.967000e+00,-0.320625
-4.966000e+00,-0.399766
-4.965000e+00,-0.570156
-4.964000e+00,-0.532031
-4.963000e+00,-0.479297
-4.962000e+00,-0.571094
-4.961000e+00,-0.597109
-4.960000e+00,-0.393828
-4.959000e+00,-0.196406
-4.958000e+00,-0.175312
-4.957000e+00,-0.0285156
-4.956000e+00,-0.0230469
-4.955000e+00,-0.004375
-4.954000e+00,0.309531
-4.953000e+00,0.4925
-4.952000e+00,0.543047
-4.951000e+00,0.653672
-4.950000e+00,0.767344
-4.949000e+00,0.746406
-4.948000e+00,0.592031
-4.947000e+00,0.544766
-4.946000e+00,0.432578
-4.945000e+00,0.1
-4.944000e+00,-0.179375
-4.943000e+00,-0.304375
-4.942000e+00,-0.393437
-4.941000e+00,-0.535703
-4.940000e+00,-0.541953
-4.939000e+00,-0.507656
-4.938000e+00,-0.612656
-4.937000e+00,-0.610156
-4.936000e+00,-0.389141
-4.935000e+00,-0.1525
-4.934000e+00,-0.144922
-4.933000e+00,-0.0717969
-4.932000e+00,-0.0308594
-4.931000e+00,0.0440625
-4.930000e+00,0.313438
-4.929000e+00,0.456563
-4.928000e+00,0.484297
-4.927000e+00,0.670547
-4.926000e+00,0.780078
-4.925000e+00,0.693906
-4.924000e+00,0.631563
-4.923000e+00,0.623906
-4.922000e+00,0.418203
-4.921000e+00,0.0671094
-4.920000e+00,-0.203828
-4.919000e+00,-0.268359
-4.918000e+00,-0.362656
-4.917000e+00,-0.573203
-4.916000e+00,-0.556094
-4.915000e+00,-0.522656
-4.914000e+00,-0.612656
-4.913000e+00,-0.614453
-4.912000e+00,-0.392031
-4.911000e+00,-0.174844
-4.910000e+00,-0.127266
-4.909000e+00,-0.0753125
-4.908000e+00,0.00921875
-4.907000e+00,0.101016
-4.906000e+00,0.295
-4.905000e+00,0.401484
-4.904000e+00,0.508047
-4.903000e+00,0.663203
-4.902000e+00,0.74625
-4.901000e+00,0.74875
-4.900000e+00,0.618672
-4.899000e+00,0.613047
-4.898000e+00,0.393516
-4.897000e+00,0.0647656
-4.896000e+00,-0.166719
-4.895000e+00,-0.244844
-4.894000e+00,-0.358984
-4.893000e+00,-0.627656
-4.892000e+00,-0.574531
-4.891000e+00,-0.527344
-4.890000e+00,-0.622812
-4.889000e+00,-0.600625
-4.888000e+00,-0.354687
-4.887000e+00,-0.179922
-4.886000e+00,-0.149453
-4.885000e+00,-0.0839063
-4.884000e+00,0.0376563
-4.883000e+00,0.107734
-4.882000e+00,0.292656
-4.881000e+00,0.377578
-4.880000e+00,0.517422
-4.879000e+00,0.668047
-4.878000e+00,0.740234
-4.877000e+00,0.755
-4.876000e+00,0.636953
-4.875000e+00,0.602187
-4.874000e+00,0.389844
-4.873000e+00,0.0665625
-4.872000e+00,-0.158359
-4.871000e+00,-0.276172
-4.870000e+00,-0.418906
-4.869000e+00,-0.628437
-4.868000e+00,-0.534922
-4.867000e+00,-0.536719
-4.866000e+00,-0.63875
-4.865000e+00,-0.635625
-4.864000e+00,-0.305859
-4.863000e+00,-0.121641
-4.862000e+00,-0.179297
-4.861000e+00,-0.0520313
-4.860000e+00,0.0444531
-4.859000e+00,0.104922
-4.858000e+00,0.2425
-4.857000e+00,0.374531
-4.856000e+00,0.509844
-4.855000e+00,0.672734
-4.854000e+00,0.751797
-4.853000e+00,0.740781
-4.852000e+00,0.670391
-4.851000e+00,0.634844
-4.850000e+00,0.341797
-4.849000e+00,0.0883594
-4.848000e+00,-0.122578
-4.847000e+00,-0.229844
-4.846000e+00,-0.473047
-4.845000e+00,-0.670781
-4.844000e+00,-0.576328
-4.843000e+00,-0.530234
-4.842000e+00,-0.600469
-4.841000e+00,-0.588125
-4.840000e+00,-0.337422
-4.839000e+00,-0.167109
-4.838000e+00,-0.172344
-4.837000e+00,0.004375
-4.836000e+00,0.106797
-4.835000e+00,0.045625
-4.834000e+00,0.20125
-4.833000e+00,0.393125
-4.832000e+00,0.504922
-4.831000e+00,0.692891
-4.830000e+00,0.747031
-4.829000e+00,0.749375
-4.828000e+00,0.648281
-4.827000e+00,0.608984
-4.826000e+00,0.369063
-4.825000e+00,0.119609
-4.824000e+00,-0.103516
-4.823000e+00,-0.305312
-4.822000e+00,-0.521094
-4.821000e+00,-0.648438
-4.820000e+00,-0.587812
-4.819000e+00,-0.503594
-4.818000e+00,-0.572031
-4.817000e+00,-0.546406
-4.816000e+00,-0.378984
-4.815000e+00,-0.153125
-4.814000e+00,-0.1525
-4.813000e+00,-0.008125
-4.812000e+00,0.0830469
-4.811000e+00,0.0467969
-4.810000e+00,0.196406
-4.809000e+00,0.412422
-4.808000e+00,0.504609
-4.807000e+00,0.668828
-4.806000e+00,0.784062
-4.805000e+00,0.752422
-4.804000e+00,0.639844
-4.803000e+00,0.647109
-4.802000e+00,0.351172
-4.801000e+00,0.0989844
-4.800000e+00,-0.14125
-4.799000e+00,-0.344375
-4.798000e+00,-0.492109
-4.797000e+00,-0.622969
-4.796000e+00,-0.560547
-4.795000e+00,-0.531953
-4.794000e+00,-0.625469
-4.793000e+00,-0.535078
-4.792000e+00,-0.320078
-4.791000e+00,-0.161406
-4.790000e+00,-0.112422
-4.789000e+00,-0.00632812
-4.788000e+00,0.0232031
-4.787000e+00,0.00453125
-4.786000e+00,0.220313
-4.785000e+00,0.382031
-4.784000e+00,0.527891
-4.783000e+00,0.686719
-4.782000e+00,0.80125
-4.781000e+00,0.757344
-4.780000e+00,0.634609
-4.779000e+00,0.603359
-4.778000e+00,0.400156
-4.777000e+00,0.127812
-4.776000e+00,-0.158906
-4.775000e+00,-0.365625
-4.774000e+00,-0.540781
-4.773000e+00,-0.652188
-4.772000e+00,-0.550625
-4.771000e+00,-0.534687
-4.770000e+00,-0.570312
-4.769000e+00,-0.513516
-4.768000e+00,-0.338906
-4.767000e+00,-0.0971094
-4.766000e+00,-0.147656
-4.765000e+00,-0.065625
-4.764000e+00,-0.00210938
-4.763000e+00,0.0165625
-4.762000e+00,0.226016
-4.761000e+00,0.415703
-4.760000e+00,0.521094
-4.759000e+00,0.678125
-4.758000e+00,0.805703
-4.757000e+00,0.775938
-4.756000e+00,0.656953
-4.755000e+00,0.6325
-4.754000e+00,0.404219
-4.753000e+00,0.099375
-4.752000e+00,-0.217656
-4.751000e+00,-0.366953
-4.750000e+00,-0.530781
-4.749000e+00,-0.666328
-4.748000e+00,-0.548906
-4.747000e+00,-0.499375
-4.746000e+00,-0.572266
-4.745000e+00,-0.501641
-4.744000e+00,-0.282734
-4.743000e+00,-0.168281
-4.742000e+00,-0.227344
-4.741000e+00,-0.0284375
-4.740000e+00,0.0485156
-4.739000e+00,0.0234375
-4.738000e+00,0.205234
-4.737000e+00,0.403125
-4.736000e+00,0.535859
-4.735000e+00,0.707734
-4.734000e+00,0.831719
-4.733000e+00,0.798906
-4.732000e+00,0.632344
-4.731000e+00,0.619219
-4.730000e+00,0.366328
-4.729000e+00,0.0673437
-4.728000e+00,-0.19625
-4.727000e+00,-0.347891
-4.726000e+00,-0.539531
-4.725000e+00,-0.660937
-4.724000e+00,-0.595156
-4.723000e+00,-0.436016
-4.722000e+00,-0.513906
-4.721000e+00,-0.545
-4.720000e+00,-0.334531
-4.719000e+00,-0.166484
-4.718000e+00,-0.180312
-4.717000e+00,-0.0685156
-4.716000e+00,0.0714063
-4.715000e+00,0.0434375
-4.714000e+00,0.218047
-4.713000e+00,0.390625
-4.712000e+00,0.512578
-4.711000e+00,0.739219
-4.710000e+00,0.837578
-4.709000e+00,0.763516
-4.708000e+00,0.646875
-4.707000e+00,0.619688
-4.706000e+00,0.376641
-4.705000e+00,0.0476563
